Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,100n,C_0603_1608Metric,96.3,-129.2,-90,top
C6,100n,C_0603_1608Metric,123.81,-129.3,-90,top
C8,100n,C_0603_1608Metric,122.8,-88.4,180,top
C10,100n,C_0603_1608Metric,90.585,-102.53,180,top
C12,100n,C_0603_1608Metric,93.6,-77.5,180,top
C14,100n,C_0603_1608Metric,137.01,-61.315,90,top
C16,100n,C_0603_1608Metric,103.52,-57.7875,90,top
C18,100n,C_0603_1608Metric,136.21,-129.205,90,top
C20,100n,C_0603_1608Metric,108.7,-129.4,90,top
C22,100n,C_0603_1608Metric,122.769888,-100.9,0,top
C24,100n,C_0603_1608Metric,90.51,-115.13,0,top
C26,100n,C_0603_1608Metric,93.6,-90.1,0,top
C28,100n,C_0603_1608Metric,124.61,-61.19,-90,top
C30,100n,C_0603_1608Metric,91.02,-57.7875,-90,top
R6,100k,R_1206_3216Metric,121.25,-137.4,180,top
R8,10k,R_1206_3216Metric,147,-113.6,180,top
R9,10k,R_1206_3216Metric,148.3,-118,-90,top
R10,10k,R_1206_3216Metric,145.7,-118,-90,top
R11,10k,R_1206_3216Metric,132.4,-122.9,180,top
R12,100k,R_1206_3216Metric,127.5,-122.9,180,top
R13,150k,R_1206_3216Metric,140,-115,-90,top
R14,150k,R_1206_3216Metric,127.2,-115,90,top
R15,100k,R_1206_3216Metric,133.7,-119.1,180,top
R16,100k,R_1206_3216Metric,105.6,-122.9,180,top
R18,1k,R_1210_3225Metric,159.5,-103.3,0,top
R19,10k,R_1206_3216Metric,82.585,-116.23,0,top
R20,7.5k,R_1206_3216Metric,94.285,-116.83,90,top
R21,11k,R_1206_3216Metric,97.085,-114.13,90,top
R22,47k,R_1206_3216Metric,97.085,-109.23,90,top
R23,10k,R_1206_3216Metric,101,-86.3,90,top
R24,10k,R_1206_3216Metric,101,-81.4,90,top
R25,10k,R_1206_3216Metric,101,-91.1625,90,top
R26,10k,R_1206_3216Metric,132.6,-71.7375,-90,top
R27,10k,R_1206_3216Metric,119.9,-71.7375,90,top
R28,100k,R_1206_3216Metric,102.1375,-77.5,0,top
R29,100k,R_1206_3216Metric,124.3,-67.7,0,top
R30,100k,R_1206_3216Metric,130.5,-67.7,0,top
R33,10k,R_1206_3216Metric,86.1,-91.1625,90,top
R34,10k,R_1206_3216Metric,86.1,-86.2625,90,top
R35,10k,R_1206_3216Metric,86.1,-81.3625,90,top
R36,10k,R_1206_3216Metric,132.54,-50.795,-90,top
R37,100k,R_1206_3216Metric,85,-77.4625,180,top
R38,100k,R_1206_3216Metric,124.3,-54.895,0,top
R39,10k,R_1206_3216Metric,119.84,-50.795,90,top
R40,100k,R_1206_3216Metric,130.5,-54.895,0,top
